id,tag
0,Time Travel
1,Child From The Future
2,Sign Language
3,Father-Son Relationship
4,Deafness
5,Music
6,1990s
7,Coming Of Age
8,Comedy
9,Student Female Lead (Vote or add tags)
10,Uncle-Nephew Relationship
11,Autism
12,Death
13,Tearjerker
14,Mourning
15,Savant Syndrome
16,Life Lesson
17,Cleaning And Organizing
18,Asperger’s Syndrome
19,Autistic Male Lead (Vote or add tags)
20,Skilled Fighter
21,Violence
22,Adapted From A Webtoon
23,Friendship
24,School Bullying
25,Bromance
26,Fight
27,High School
28,Introverted Male Lead
29,Gang (Vote or add tags)
30,Multiple Mains
31,Band
32,Multiple Couples
33,Illness
34,Strong Female Lead
35,Divorced Male Lead
36,Long Distance Relationship (Vote or add tags)
37,Graphic Violence
38,Supernatural Power
39,Romance
40,Student Female Lead
41,Student Male Lead
42,Family Relationship
43,Past And Present
44,Fantasy
45,Suspense (Vote or add tags)
46,Family Secret
47,Psychological
48,Mystery
49,Suspense
50,Hidden Personality
51,Antisocial Personality Disorder
52,Investigation
53,Deception
54,Smart Female Lead
55,Murder (Vote or add tags)
56,Transmigration
57,Master-Disciple Relationship
58,Hidden Identity
59,Supernatural
60,Body Swap
61,Elemental Power
62,Fake Identity
63,Comedy (Vote or add tags)
64,Slow Romance
65,Slight Romance
66,Healing
67,Nice Male Lead
68,Music (Vote or add tags)
69,Nostalgia
70,Poor Family
71,Love Triangle
72,Mother-Son Relationship
73,Poor Female Lead (Vote or add tags)
74,Depression
75,Poor Female Lead
76,Infidelity
77,Lying
78,Power Struggle
79,Grandma-Granddaughter Relationship (Vote or add tags)
80,Motherhood
81,Palace Setting
82,Royalty
83,Black Comedy
84,Queen Female Lead
85,Joseon Dynasty
86,Royal Family
87,Historical Fiction
88,Prince Supporting Character (Vote or add tags)
89,North And South Korea
90,Soldier Male Lead
91,Army
92,Strong Male Lead
93,Rich Female Lead
94,Soldier Supporting Character
95,Intercountry Romance
96,Fate
97,Army Captain Male Lead (Vote or add tags)
98,Revenge
99,Brief Nudity
100,Domestic Violence
101,Trauma
102,Family Abuse
103,Perpetrator-Victim Relationship
104,Nudity (Vote or add tags)
105,Mother-Daughter Relationship
106,Independent Female Lead
107,Child Abuse
108,Adoption
109,Orphan Female Lead
110,Investigation (Vote or add tags)
111,Sassy Female Lead
112,Eccentric Female Lead
113,Calm Male Lead
114,Marriage Of Convenience
115,Smart Male Lead
116,Gender Swap (Vote or add tags)
117,Prison Setting
118,Wrongfully Accused
119,Character Development
120,Murder
121,Best Friends' Relationship
122,Black Comedy (Vote or add tags)
123,Hospital Setting
124,Teamwork
125,Genius Male Lead
126,Surgeon Male Lead
127,Neurosurgeon Male Lead
128,Hospital Director Male Lead
129,Doctor Female Lead
130,Doctor Male Lead
131,Hardworking Male Lead
132,Hardworking Female Lead (Vote or add tags)
133,Possessive Female Lead
134,Successful Female Lead
135,Melodrama
136,Selfless Male Lead
137,Badass Female Lead
138,Psychiatry
139,Childhood Connection
140,Trauma (Vote or add tags)
141,Autistic Female Lead
142,Attorney Female Lead
143,Workplace Setting
144,Father-Daughter Relationship
145,Courtroom Setting
146,Single Mother/Father Supporting Character
147,Slow Burn Romance (Vote or add tags)
148,Fantasy World
149,Birth Secret
150,Antihero Male Lead
151,Sword-fight (Vote or add tags)
152,School Violence
153,Social Issues
154,Sexual Content
155,Time Skip
156,Antiheroine Female Lead
157,Nonlinear Narrative (Vote or add tags)
158,Ballet
159,Unusual Friendship
160,Second Chance
161,Grandpa-Granddaughter Relationship
162,Abuse Of Power (Vote or add tags)
163,Mafia
164,Injustice
165,Badass Male Lead
166,Skilled Killer
167,Father-Daughter Relationship (Vote or add tags)
168,Different Timelines
169,Butterfly Effect
170,Hwaseong Serial Murders
171,Corruption
172,Time Altering
173,Smart Female Lead (Vote or add tags)
174,Older Man/Younger Woman
175,Gay Supporting Character
176,Qing Invasion Of Joseon
177,Spoiled Female Lead
178,War
179,Determined Female Lead
180,Strong Female Lead (Vote or add tags)
181,Cautious Male Lead
182,Hopeless Male Lead
183,Martial Artist Supporting Character
184,Writer Supporting Character
185,Writer Female Lead
186,Painter Supporting Character
187,Grim Reaper Female Lead
188,Artist Supporting Character
189,Psychopath Supporting Character (Vote or add tags)
190,Village Setting
191,Death Of A Husband
192,Mean Parent
193,Abusive Parent
194,Age Regression
195,Controlling Parent
196,Farmer Female Lead
197,Foreigner Supporting Character (Vote or add tags)
198,Survival
199,Difficult Adulthood
200,Bully Supporting Character
201,Physical Assault
202,Ill Male Lead
203,Student Supporting Character (Vote or add tags)
204,Zombies
205,Gore
206,Greed (Vote or add tags)
207,Political Intrigue
208,Slow Burn Romance
209,Torture
210,1600s (Vote or add tags)
211,Criminal Organization
212,Taxi Setting
213,Undercover Operation
214,Slight Comedy (Vote or add tags)
215,Infectious Disease
216,Detective Male Lead
217,Virus
218,Healthy Mains’ Relationship
219,Quarantine (Vote or add tags)
220,Imperialism
221,Gun Violence
222,Female Lead Action Scenes
223,Japanese Colonial Rule
224,Korean Empire (Vote or add tags)
225,Grim Reaper Male Lead
226,Underworld
227,Attempted Suicide
228,Suicide
229,Afterlife
230,Suicide Prevention
231,Coma
232,Team Leader Female Lead (Vote or add tags)
233,Dark Fiction
234,Flashback To Past
235,Grandma-Granddaughter Relationship
236,Sexual Assault
237,Child Sexual Abuse (Vote or add tags)
