เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,634552,20469,24282,13538
กุมภาพันธ์,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,611029,21822,25410,14248
มีนาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,719225,23201,25447,16741
เมษายน,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,631343,21045,25678,15750
พฤษภาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,748456,24144,28127,16901
มิถุนายน,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,817301,27243,30217,19066
กรกฎาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,823504,26565,31501,18749
สิงหาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1331334,42946,47655,31436
กันยายน,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1407258,46909,52322,34278
ตุลาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1376904,45897,53861,32140
พฤศจิกายน,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1395555,46519,52042,31330
ธันวาคม,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1249626,40311,48421,27470
